stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
features,H_all,rf,blur+jpeg,1536,792,0.525193,0.53044,0.485026,1,0.00126263,0.00252207,0.483179,0.407032,0.391519
features,H_all,svm,clean,1536,792,0.982665,0.983752,0.94401,0.952564,0.938131,0.945293,0.0566349,0.0451212,0.0132535
features,H_all,svm,blur,1536,792,0.582302,0.57611,0.483073,0.375,0.00378788,0.0075,0.442062,0.408453,0.403512
features,H_all,svm,jpeg,1536,792,0.498745,0.499416,0.479167,0.375,0.0151515,0.0291262,0.496762,0.483095,0.47434
features,H_all,svm,webp,1536,792,0.473422,0.50469,0.486328,1,0.00378788,0.00754717,0.537125,0.50647,0.506184
features,H_all,svm,blur+jpeg,1536,792,0.5039,0.518657,0.484375,0,0,0,0.499369,0.49993,0.499038
features,H_all,gbt,clean,1536,792,0.995431,0.995846,0.964193,0.971831,0.958333,0.965035,0.0370846,0.0273312,0.014448
features,H_all,gbt,blur,1536,792,0.676769,0.649861,0.636068,0.613881,0.792929,0.692011,0.369787,0.294133,0.248333
features,H_all,gbt,jpeg,1536,792,0.469748,0.479411,0.473307,0.345455,0.0239899,0.0448642,0.520813,0.500912,0.492747
features,H_all,gbt,webp,1536,792,0.491783,0.511198,0.483724,0.428571,0.00378788,0.00750939,0.506558,0.511293,0.51243
features,H_all,gbt,blur+jpeg,1536,792,0.49134,0.4975,0.484375,0.5,0.00252525,0.00502513,0.507107,0.513087,0.512316
deep,ent_A_shannon,mlep,clean,800,379,0.997857,0.997934,0.98125,0.984043,0.976253,0.980132,0.0175484,0.0196393,0.0343812
deep,ent_A_shannon,mlep,blur,800,379,0.73413,0.681659,0.5575,0.51809,0.944591,0.669159,0.313762,0.374796,0.381853
deep,ent_A_shannon,mlep,jpeg,800,379,0.42839,0.41909,0.525,0,0,0,0.569996,0.467689,0.464822
deep,ent_A_shannon,mlep,webp,800,379,0.431784,0.419286,0.52375,0,0,0,0.558781,0.471638,0.47259
deep,ent_A_shannon,mlep,blur+jpeg,800,379,0.457179,0.426594,0.52625,0,0,0,0.53635,0.473243,0.472925
deep,ent_B_renyi0.5,mlep,clean,800,379,0.997637,0.997685,0.98,0.97389,0.984169,0.979003,0.0212429,0.019337,0.0286905
deep,ent_B_renyi0.5,mlep,blur,800,379,0.729467,0.675571,0.575,0.529061,0.936675,0.67619,0.327352,0.35673,0.362243
deep,ent_B_renyi0.5,mlep,jpeg,800,379,0.429553,0.421423,0.52625,0.5,0.00263852,0.00524934,0.571315,0.466906,0.463788
deep,ent_B_renyi0.5,mlep,webp,800,379,0.430696,0.418686,0.52375,0,0,0,0.549809,0.4713,0.471163
deep,ent_B_renyi0.5,mlep,blur+jpeg,800,379,0.456392,0.426469,0.52625,0,0,0,0.533712,0.473474,0.473189
deep,ent_B_renyi2,mlep,clean,800,379,0.998358,0.998378,0.97875,0.991848,0.963061,0.977242,0.0162291,0.018393,0.0359885
deep,ent_B_renyi2,mlep,blur,800,379,0.740723,0.688559,0.55875,0.518841,0.944591,0.669785,0.314949,0.369387,0.36871
deep,ent_B_renyi2,mlep,jpeg,800,379,0.425683,0.412029,0.52625,0,0,0,0.569996,0.471087,0.468305
deep,ent_B_renyi2,mlep,webp,800,379,0.431355,0.421542,0.52625,0,0,0,0.571184,0.471805,0.472676
deep,ent_B_renyi2,mlep,blur+jpeg,800,379,0.457508,0.426494,0.52625,0,0,0,0.546246,0.473496,0.473622
deep,ent_B_renyi4,mlep,clean,800,379,0.998182,0.998139,0.98625,0.991979,0.978892,0.985392,0.0212429,0.0182641,0.0319932
deep,ent_B_renyi4,mlep,blur,800,379,0.751709,0.699032,0.55875,0.518414,0.965699,0.674654,0.303734,0.367986,0.373941
deep,ent_B_renyi4,mlep,jpeg,800,379,0.424479,0.414325,0.52625,0,0,0,0.566301,0.471529,0.469751
deep,ent_B_renyi4,mlep,webp,800,379,0.438502,0.431017,0.52625,0.5,0.00263852,0.00524934,0.572503,0.470126,0.468637
deep,ent_B_renyi4,mlep,blur+jpeg,800,379,0.459557,0.431453,0.52625,0,0,0,0.532524,0.473408,0.473706
deep,ent_C_tsallis0.5,mlep,clean,800,379,0.998026,0.99807,0.98125,0.984043,0.976253,0.980132,0.0212429,0.0182964,0.0309079
deep,ent_C_tsallis0.5,mlep,blur,800,379,0.726117,0.672881,0.58125,0.533742,0.918206,0.675073,0.317456,0.346808,0.345777
deep,ent_C_tsallis0.5,mlep,jpeg,800,379,0.427986,0.413374,0.52625,0,0,0,0.563795,0.47045,0.465888
deep,ent_C_tsallis0.5,mlep,webp,800,379,0.428428,0.413893,0.52375,0,0,0,0.564982,0.472373,0.471931
deep,ent_C_tsallis0.5,mlep,blur+jpeg,800,379,0.453406,0.421677,0.52625,0,0,0,0.539913,0.473702,0.473879
deep,ent_C_tsallis2,mlep,clean,800,379,0.998182,0.998149,0.9825,0.984085,0.978892,0.981481,0.0153047,0.0195155,0.0306599
deep,ent_C_tsallis2,mlep,blur,800,379,0.743653,0.689751,0.58125,0.53207,0.963061,0.685446,0.319963,0.362767,0.367331
deep,ent_C_tsallis2,mlep,jpeg,800,379,0.445478,0.431771,0.5225,0.2,0.00263852,0.00520833,0.559968,0.463944,0.457057
deep,ent_C_tsallis2,mlep,webp,800,379,0.443472,0.428405,0.52625,0,0,0,0.546246,0.471493,0.471051
deep,ent_C_tsallis2,mlep,blur+jpeg,800,379,0.470118,0.443165,0.52625,0,0,0,0.523816,0.472941,0.472868
deep,ent_C_tsallis4,mlep,clean,800,379,0.998721,0.998631,0.975,0.99449,0.952507,0.973046,0.0163607,0.0248348,0.0400197
deep,ent_C_tsallis4,mlep,blur,800,379,0.7449,0.68561,0.58125,0.531977,0.965699,0.686036,0.310067,0.358196,0.366691
deep,ent_C_tsallis4,mlep,jpeg,800,379,0.437396,0.422549,0.52,0.142857,0.00263852,0.00518135,0.558781,0.467961,0.462817
deep,ent_C_tsallis4,mlep,webp,800,379,0.46547,0.432094,0.525,0,0,0,0.514976,0.471633,0.471714
deep,ent_C_tsallis4,mlep,blur+jpeg,800,379,0.464884,0.43559,0.52625,0,0,0,0.537406,0.472674,0.472052
deep,ent_D_perm3,mlep,clean,800,379,0.808613,0.802692,0.72875,0.731429,0.675462,0.702332,0.278797,0.177204,0.0284317
deep,ent_D_perm3,mlep,blur,800,379,0.602915,0.595105,0.5725,0.579399,0.356201,0.441176,0.435018,0.288821,0.206771
deep,ent_D_perm3,mlep,jpeg,800,379,0.4648,0.436421,0.5075,0.241379,0.0184697,0.0343137,0.521309,0.394026,0.362525
deep,ent_D_perm3,mlep,webp,800,379,0.438938,0.426429,0.5225,0.363636,0.0105541,0.0205128,0.541232,0.43665,0.420718
deep,ent_D_perm3,mlep,blur+jpeg,800,379,0.477447,0.457029,0.51375,0.34375,0.0290237,0.053528,0.516163,0.402869,0.375953
deep,ent_D_perm4,mlep,clean,800,379,0.755968,0.735159,0.67125,0.641463,0.693931,0.666667,0.33131,0.199395,0.0300569
deep,ent_D_perm4,mlep,blur,800,379,0.593172,0.566592,0.5475,0.538117,0.316623,0.398671,0.440032,0.259394,0.137911
